품번,품명,가격
178352,뒷사태 - 멕시코 | 산타라 - GF,"9,500원"
179471,목심 - 호주 | 미드필드,"9,500원"
179516,토시살 - 미국 | NB(19336) - 초이스,"9,500원"
184814,스지 - 호주 | 하비(648) - BEEF,"9,500원"
185832,앞/척갈비 - 호주 | 티스(423),"9,500원"
186335,부채살 - 호주 | AMG - A,"9,500원"
188580,삼겹양지 - 호주 | 엘그로(와규)(243(L'GROW/와규)) - MB3,"9,500원"
189433,삼겹양지 - 호주 | 킬코이,"9,500원"
189444,차돌양지 - 호주 | 놀란(80) - YGGF,"9,500원"
191031,[낱개상품]살치살 - 캐나다 | 엑셀 - AA,"9,500원"
191656,삼겹양지 - 호주 | 오키,"9,500원"
128945,곱창 - 뉴질랜드 | AMP,"9,510원"
187569,삼겹양지2.5mm - 호주 | AMH - GF,"9,530원"
137442,삼겹양지 - 미국 | 엑셀(86M) - 언그레이드,"9,580원"
172771,삼겹양지 - 미국 | 엑셀(354) - 언그레이드,"9,590원"
8093,앞다리/전각 - 호주 | 놀란 - GF,"9,600원"
156876,삼겹양지 - 미국 | 엑셀(RRA/앵거스)(86R) - 초이스(앵거스),"9,600원"
174122,[낱개상품]삼겹양지 - 미국 | 엑셀 - 언그레이드,"9,600원"
186648,삼겹양지 - 미국 | 엑셀(86M) - 언그레이드,"9,600원"
189820,차돌양지 - 호주 | 콜스 - YP,"9,600원"
185499,양지늑간 - 미국 | 엑셀(354) - 언그레이드,"9,630원"
184319,알전각/볼라전각 - 호주 | 티스(423) - S,"9,680원"
185933,알전각/볼라전각 - 호주 | 티스(294) - S,"9,690원"
8038,목심 - 호주 | 하비(648) - A,"9,700원"
20138,양지늑간 - 미국 | 위리저브(27472) - 초이스,"9,700원"
8054,살치살 - 멕시코 | 비바 - GF,"9,700원"
135046,양지늑간 - 미국 | 아이오와 프리미엄비프(8),"9,700원"
156863,등갈비/백립 - 미국 | 44팜스,"9,700원"
148537,등갈비/백립 - 미국 | 44팜스,"9,700원"
163564,부채살 - 미국 | 샘케인(337) - 초이스,"9,700원"
166781,양지늑간 - 미국 | 위리저브(27472),"9,700원"
166389,등갈비/백립 - 미국 | 아이오와 프리미엄비프(8) - CAB,"9,700원"
172949,등갈비/백립 - 미국 | 아이오와 프리미엄비프(8),"9,700원"
181707,알전각/볼라전각 - 호주 | 그린햄 - A,"9,700원"
183700,안창살 - 호주 | AMH(688),"9,700원"
183826,사태 - 호주 | 타지마(와규) - MB4~5,"9,700원"
186626,알전각/볼라전각 - 호주 | 미트컴퍼니(423) - YP,"9,700원"
191275,부채살 - 미국 | 스위프트(3D) - 언그레이드,"9,700원"
